Ancient Tomb,TE,4
Arena Rector,UD,4
Candelabra of Tawnos,ATQ,1
Chrome Mox,MRD,4
City of Traitors,EX,4
Dark Depths,CSP,4
Force of Will,ALL,4
Gaea's Cradle,UZ,4
Goblin Lore,PO2,4
Grim Monolith,UL,4
Intuition,1,TE
Lion's Eye Diamond,MI,4
Mana Crypt,PRM-MED,2
Maze of Ith,DRK,4
Metalworker,UD,4
Mishra's Workshop,ATQ,4
Mox Diamond,ST,4
Mox Opal,SOM,4
Null Rod,WL,4
Rishadan Port,MM,4
Sensei's Divining Top,CHK,4
The Tabernacle at Pendrell Vale,LEG,2
Wasteland,TE,4
